mart_name,category,availability_score,price_score,quality_score,variety_score,recommendation_score,price_band,stock_confidence,gift_suitability,daily_use_suitability,cooking_suitability,ready_to_eat_suitability,premium_feel,local_experience,tourist_accessibility,bulk_buy_suitability,delivery_friendliness,time_efficiency,tourist_fit,resident_fit,recommended_for,avoid_if,summary_copy,notes
El Corte Inglés Serrano,하몽,4,3,4,4,4,보통,항상 있음,5,2,3,2,4,2,5,3,3,4,5,3,"관광객, 선물용 구매, 첫 스페인 장보기","최저가 위주로 장볼 때","선물용 하몽을 무난하고 안정적으로 고르기 좋은 곳","기념품이나 선물용으로 무난하고 브랜드 선택지가 안정적임"
El Corte Inglés Serrano,올리브오일,4,3,4,4,4,보통,항상 있음,5,3,4,2,4,2,5,3,3,4,5,3,"관광객, 선물용 구매, 접근성 중시","시장형 현지 감성을 기대할 때","관광객이 올리브오일을 쉽게 고르기 좋은 곳","접근성이 좋고 여행자가 고르기 쉬운 구성이 많음"
El Corte Inglés Serrano,토마토,3,3,3,3,3,보통,보통,1,3,3,1,3,1,4,2,3,4,3,3,"간단한 식재료 보충, 백화점형 쇼핑 선호","신선식품 전문성을 기대할 때","기본적인 채소를 무난하게 보충할 수 있는 선택지","채소 코너는 무난하지만 특별히 가격 메리트가 크지는 않음"
El Corte Inglés Serrano,납작복숭아,3,3,3,3,3,보통,시즌성,2,2,2,2,3,1,4,2,2,4,4,2,"관광객, 과일 체험, 백화점형 쇼핑","제철 과일 다양성을 기대할 때","과일을 편하게 고르기엔 좋지만 시장만큼 인상적이지는 않은 곳","과일 구색은 무난하지만 시장형 매장만큼 인상적이지는 않음"
El Corte Inglés Serrano,빠에야 재료,3,3,3,3,3,보통,보통,1,3,3,2,3,1,4,3,3,4,4,3,"관광객, 간단한 요리 재료 장보기","재료 전문성이나 밀키트를 기대할 때","파에야 재료를 기본 수준으로 모을 수 있는 곳","재료는 어느 정도 갖추고 있으나 밀키트나 간편 조합은 약한 편"
El Corte Inglés Serrano,생활 용품,3,3,3,3,3,보통,항상 있음,1,3,1,1,3,1,3,2,3,4,3,3,"단기 체류자, 급한 생필품 보충","생활형 가성비 장보기가 목적일 때","급하게 생활용품을 보충하기엔 무난한 선택지","생활용품은 기본 수준이며 장기 체류용 가성비 장보기에는 강점이 약함"
El Corte Inglés Serrano,일식 재료,5,3,4,4,5,보통,항상 있음,2,3,4,2,4,1,4,2,3,4,4,3,"일식 재료 탐색, 색다른 식재료 경험","최저가 중심 장보기","의외로 일식 재료가 다양해 발견의 재미가 있는 곳","생각보다 일식 관련 상품이 다양해 방문 포인트가 됨"
Mercado de la Paz,하몽,5,3,5,4,5,높은 편,항상 있음,5,2,4,2,5,5,4,2,1,2,5,3,"관광객, 미식 탐방, 프리미엄 선물용","빠르고 간단한 장보기가 목적일 때","하몽을 가장 현지스럽고 인상적으로 고를 수 있는 곳","시장 분위기와 잘 맞고 프리미엄 식재료를 고르는 느낌이 강함"
Mercado de la Paz,올리브오일,4,3,4,3,4,보통,보통,4,2,4,1,4,5,4,2,1,2,4,3,"관광객, 현지 시장 경험, 식재료 탐색","생활형 가성비 장보기","시장 분위기 속에서 식재료를 고르고 싶을 때 잘 맞는 곳","브랜드보다 시장 감성 있는 식재료 탐색에 적합함"
Mercado de la Paz,토마토,4,3,4,3,4,보통,보통,1,3,5,1,4,5,3,3,1,2,3,4,"직접 요리, 신선식품 탐색, 현지 시장 체험","배달이나 빠른 쇼핑이 필요할 때","요리용 신선 채소를 고르기에 좋은 시장형 선택지","신선식품 인상이 좋아 빠에야나 가정식 재료용으로 적합함"
Mercado de la Paz,납작복숭아,4,3,4,3,4,보통,시즌성,2,2,3,1,4,5,4,2,1,2,4,3,"관광객, 제철 과일 경험, 시장 탐방","항상 같은 상품 구성을 기대할 때","제철 과일을 현지 시장 분위기에서 고르기 좋은 곳","제철 과일이나 신선 식재료를 고르는 경험이 강점임"
Mercado de la Paz,빠에야 재료,5,3,5,4,5,보통,항상 있음,1,3,5,1,4,5,4,4,1,2,5,4,"직접 요리, 친구 모임, 현지 식재료 경험","밀키트나 간편식을 원할 때","빠에야 재료를 가장 현지스럽게 모을 수 있는 곳","시장형 식재료 탐색에 가장 어울리고 현지 장보기 경험이 좋음"
Mercado de la Paz,생활 용품,1,2,2,1,1,높은 편,불확실,1,1,1,1,2,3,1,1,0,1,1,1,"식재료 중심 방문객","생활형 원스톱 장보기","생활용품보다는 식재료 위주라 일상 장보기에는 맞지 않는 곳","생활용품보다는 식재료 중심이라 일상 장보기용으로는 부적합함"
Sánchez Romero,하몽,4,3,4,4,4,높은 편,항상 있음,4,2,3,2,4,2,3,2,1,3,3,3,"정돈된 매장을 선호하는 사람, 깔끔한 쇼핑","강한 가성비나 강한 현지성을 기대할 때","정돈된 환경에서 안정적으로 하몽을 보고 싶을 때 적합한 곳","정돈된 진열과 안정적인 품질감은 있으나 강한 차별 포인트는 약함"
Sánchez Romero,올리브오일,4,3,4,4,4,높은 편,항상 있음,4,2,4,1,4,2,3,2,1,3,3,3,"정돈된 쇼핑 환경 선호, 중상급 식재료 구매","가격 메리트를 가장 중요하게 볼 때","깔끔하고 정돈된 환경에서 올리브오일을 보기 좋은 곳","고급 슈퍼마켓 느낌은 있으나 기대 대비 압도적인 장점은 적음"
Sánchez Romero,토마토,4,3,4,4,4,높은 편,보통,1,3,4,1,4,2,3,3,1,3,2,3,"요리용 신선식품 구매, 쾌적한 쇼핑","현지 시장 감성이나 저렴한 가격을 기대할 때","쾌적하고 정리된 환경에서 채소를 고르기 좋은 곳","전반적으로 정돈이 잘 되어 있어 쾌적하게 고르기 좋음"
Sánchez Romero,납작복숭아,4,3,4,4,4,높은 편,시즌성,2,2,3,1,4,2,3,2,1,3,3,3,"과일 구매, 정돈된 진열 선호","과일 가격 메리트를 기대할 때","과일과 신선식품이 정리된 느낌으로 진열된 곳","과일과 신선식품이 깔끔하게 진열되어 있음"
Sánchez Romero,빠에야 재료,4,3,4,4,4,높은 편,보통,1,3,4,1,4,2,3,3,1,3,3,3,"재료 다양성, 깔끔한 쇼핑 동선","특별한 가성비나 현지 시장 경험을 기대할 때","부족함 없이 재료를 고를 수 있는 정돈된 슈퍼마켓","종류는 고르게 있으나 가격이나 경험 측면에서 압도적이지는 않음"
Sánchez Romero,생활 용품,3,2,3,3,3,높은 편,보통,1,3,1,1,3,1,2,2,1,3,2,3,"중상급 슈퍼마켓 이용자, 보충형 장보기","생활용품 메인 장보기가 목적일 때","생활용품을 보충하는 용도로는 가능하지만 메인 장보기에는 애매한 곳","생활 장보기보다는 중상급 식재료 구매에 더 어울리는 편"
Carrefour Express,하몽,3,4,3,3,3,저렴한 편,보통,2,4,2,2,2,1,3,3,4,5,2,4,"생활형 구매, 빠른 장보기, 가격 민감형","선물용이나 프리미엄 체험을 기대할 때","가볍게 하몽을 사기엔 괜찮지만 인상 깊은 선택지는 아닌 곳","가볍게 사기 좋지만 기념품형 구매에는 인상도가 낮음"
Carrefour Express,올리브오일,4,4,3,3,4,저렴한 편,항상 있음,2,5,3,1,2,1,3,4,4,5,3,5,"생활형 장보기, 가성비 중시, 반복 구매","프리미엄 브랜드 탐색","가격 부담 없이 올리브오일을 사기 좋은 생활형 매장","생활형 구매나 빠른 장보기에 적합하고 가격 부담이 적음"
Carrefour Express,토마토,3,4,3,3,3,저렴한 편,보통,1,5,3,1,2,1,3,3,4,5,2,5,"생활형 장보기, 빠른 보충 구매","신선식품 전문성을 기대할 때","가깝고 빠르게 채소를 보충하기 좋은 곳","채소류는 생활형 장보기에 무난하고 접근성이 좋음"
Carrefour Express,납작복숭아,2,3,2,2,2,보통,불확실,1,3,2,1,2,1,2,2,3,5,2,3,"과일 보충 구매","제철 과일 다양성을 기대할 때","과일은 기본 수준으로만 볼 수 있는 곳","과일은 기본 수준이며 특별히 선택 폭이 넓지는 않음"
Carrefour Express,빠에야 재료,3,4,3,3,3,저렴한 편,보통,1,4,3,2,2,1,3,3,4,5,2,4,"간단 요리, 실용형 장보기, 빠른 쇼핑","정통 식재료 탐색이 목적일 때","간편하게 재료를 모으기엔 좋지만 재료 탐색 경험은 약한 곳","조리식품이나 냉동식품을 함께 보기에는 좋지만 정통 재료 탐색감은 약함"
Carrefour Express,생활 용품,5,5,3,4,5,저렴한 편,항상 있음,1,5,1,1,2,1,4,5,5,5,3,5,"유학생, 장기 체류자, 반복 장보기","프리미엄 쇼핑 경험을 기대할 때","생활용품을 가장 실용적이고 저렴하게 보충하기 좋은 곳","생활형 장보기에서 가장 실용적이고 가격 메리트가 큰 편"
Carrefour Express,냉동식품,5,5,3,4,5,저렴한 편,항상 있음,1,5,2,4,2,1,4,5,5,5,2,5,"유학생, 혼자 사는 사람, 간편식 수요","신선식품 위주 장보기","냉동식품 가성비가 확실한 생활형 매장","확실히 저렴하고 빠르게 장볼 수 있어 장기 체류자에게 유리함"
Carrefour Express,조리식품,4,5,3,4,4,저렴한 편,보통,1,5,1,5,2,1,4,4,5,5,2,5,"혼밥, 빠른 식사 해결, 생활형 장보기","프리미엄 델리 코너를 기대할 때","바로 먹을 음식이 필요할 때 가볍게 들르기 좋은 곳","백화점형 매장보다 가성비가 좋고 바로 먹기 편한 선택지가 있음"
