mart_name,category,availability_score,price_score,quality_score,variety_score,recommendation_score,tourist_fit,resident_fit,notes
El Corte Inglés Serrano,하몽,4,3,4,4,4,5,3,"기념품이나 선물용으로 무난하고 브랜드 선택지가 안정적임"
El Corte Inglés Serrano,올리브오일,4,3,4,4,4,5,3,"접근성이 좋고 여행자가 고르기 쉬운 구성이 많음"
El Corte Inglés Serrano,토마토,3,3,3,3,3,3,3,"채소 코너는 무난하지만 특별히 가격 메리트가 크지는 않음"
El Corte Inglés Serrano,납작복숭아,3,3,3,3,3,4,2,"과일 구색은 무난하지만 시장형 매장만큼 인상적이지는 않음"
El Corte Inglés Serrano,빠에야 재료,3,3,3,3,3,4,3,"재료는 어느 정도 갖추고 있으나 밀키트나 간편 조합은 약한 편"
El Corte Inglés Serrano,생활 용품,3,3,3,3,3,3,3,"생활용품은 기본 수준이며 장기 체류용 가성비 장보기에는 강점이 약함"
El Corte Inglés Serrano,일식 재료,5,3,4,4,5,4,3,"생각보다 일식 관련 상품이 다양해 방문 포인트가 됨"
Mercado de la Paz,하몽,5,3,5,4,5,5,3,"시장 분위기와 잘 맞고 프리미엄 식재료를 고르는 느낌이 강함"
Mercado de la Paz,올리브오일,4,3,4,3,4,4,3,"브랜드보다 시장 감성 있는 식재료 탐색에 적합함"
Mercado de la Paz,토마토,4,3,4,3,4,3,4,"신선식품 인상이 좋아 빠에야나 가정식 재료용으로 적합함"
Mercado de la Paz,납작복숭아,4,3,4,3,4,4,3,"제철 과일이나 신선 식재료를 고르는 경험이 강점임"
Mercado de la Paz,빠에야 재료,5,3,5,4,5,5,4,"시장형 식재료 탐색에 가장 어울리고 현지 장보기 경험이 좋음"
Mercado de la Paz,생활 용품,1,2,2,1,1,1,1,"생활용품보다는 식재료 중심이라 일상 장보기용으로는 부적합함"
Sánchez Romero,하몽,4,3,4,4,4,3,3,"정돈된 진열과 안정적인 품질감은 있으나 강한 차별 포인트는 약함"
Sánchez Romero,올리브오일,4,3,4,4,4,3,3,"고급 슈퍼마켓 느낌은 있으나 기대 대비 압도적인 장점은 적음"
Sánchez Romero,토마토,4,3,4,4,4,2,3,"전반적으로 정돈이 잘 되어 있어 쾌적하게 고르기 좋음"
Sánchez Romero,납작복숭아,4,3,4,4,4,3,3,"과일과 신선식품이 깔끔하게 진열되어 있음"
Sánchez Romero,빠에야 재료,4,3,4,4,4,3,3,"종류는 고르게 있으나 가격이나 경험 측면에서 압도적이지는 않음"
Sánchez Romero,생활 용품,3,2,3,3,3,2,3,"생활 장보기보다는 중상급 식재료 구매에 더 어울리는 편"
Carrefour Express,하몽,3,4,3,3,3,2,4,"가볍게 사기 좋지만 기념품형 구매에는 인상도가 낮음"
Carrefour Express,올리브오일,4,4,3,3,4,3,5,"생활형 구매나 빠른 장보기에 적합하고 가격 부담이 적음"
Carrefour Express,토마토,3,4,3,3,3,2,5,"채소류는 생활형 장보기에 무난하고 접근성이 좋음"
Carrefour Express,납작복숭아,2,3,2,2,2,2,3,"과일은 기본 수준이며 특별히 선택 폭이 넓지는 않음"
Carrefour Express,빠에야 재료,3,4,3,3,3,2,4,"조리식품이나 냉동식품을 함께 보기에는 좋지만 정통 재료 탐색감은 약함"
Carrefour Express,생활 용품,5,5,3,4,5,3,5,"생활형 장보기에서 가장 실용적이고 가격 메리트가 큰 편"
Carrefour Express,냉동식품,5,5,3,4,5,2,5,"확실히 저렴하고 빠르게 장볼 수 있어 장기 체류자에게 유리함"
Carrefour Express,조리식품,4,5,3,4,4,2,5,"백화점형 매장보다 가성비가 좋고 바로 먹기 편한 선택지가 있음"
